epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1183.28,1.20342,0.77391,1.11567,0.95972,0.9688,0.97336,0.61062,1.33307,0.66148,1.34146,0.000848969,0.000848969,0.000848969
43,1212.43,1.23509,0.79339,1.1265,0.96072,0.9859,0.97851,0.63784,1.31775,0.6313,1.33831,0.000834822,0.000834822,0.000834822
44,1241.6,1.22359,0.79358,1.11863,0.94108,0.98423,0.978,0.6097,1.39815,0.67212,1.33106,0.000820675,0.000820675,0.000820675
45,1270.57,1.19487,0.75624,1.11105,0.97957,0.97812,0.98397,0.65022,1.32081,0.61066,1.35954,0.000806528,0.000806528,0.000806528
46,1299.54,1.21147,0.7712,1.11941,0.94954,0.98329,0.98462,0.6384,1.32827,0.65159,1.34969,0.00079238,0.00079238,0.00079238
47,1328.52,1.21099,0.75706,1.11839,0.96217,0.96793,0.98049,0.64489,1.34754,0.60644,1.37119,0.000778233,0.000778233,0.000778233
48,1357.44,1.21981,0.77419,1.11922,0.94674,0.96624,0.97742,0.65435,1.29129,0.60616,1.3582,0.000764086,0.000764086,0.000764086
49,1386.52,1.18608,0.73746,1.11084,0.9564,0.9781,0.98154,0.64243,1.37049,0.63216,1.36958,0.000749939,0.000749939,0.000749939
50,1415.55,1.16245,0.7294,1.09587,0.96842,0.9688,0.98538,0.63589,1.33812,0.62086,1.33204,0.000735792,0.000735792,0.000735792
51,1444.47,1.19801,0.73542,1.10861,0.95582,0.96544,0.98118,0.64518,1.37306,0.61862,1.34807,0.000721645,0.000721645,0.000721645
52,1473.84,1.21034,0.75025,1.11262,0.97763,0.98527,0.98538,0.64326,1.34483,0.64168,1.39063,0.000707498,0.000707498,0.000707498
53,1502.8,1.16536,0.72287,1.09897,0.97569,0.97112,0.98092,0.66217,1.31463,0.61619,1.34184,0.000693351,0.000693351,0.000693351
54,1531.9,1.18466,0.7203,1.10985,0.96862,0.97735,0.984,0.64695,1.31723,0.62404,1.37524,0.000679204,0.000679204,0.000679204
55,1560.9,1.15645,0.73034,1.10917,0.94447,0.93327,0.9606,0.61739,1.36195,0.68235,1.38146,0.000665057,0.000665057,0.000665057
56,1590.22,1.18799,0.72889,1.10627,0.94729,0.95996,0.97515,0.65067,1.29201,0.60377,1.33784,0.000650909,0.000650909,0.000650909
57,1619.26,1.18325,0.71969,1.10446,0.96323,0.98194,0.98266,0.65305,1.28215,0.62691,1.33492,0.000636762,0.000636762,0.000636762
58,1648.44,1.16323,0.70882,1.08623,0.95562,0.97658,0.98159,0.65113,1.3229,0.62022,1.40779,0.000622615,0.000622615,0.000622615
59,1677.46,1.15064,0.70612,1.09524,0.95493,0.96629,0.98005,0.64609,1.33491,0.60465,1.35922,0.000608468,0.000608468,0.000608468
60,1706.58,1.15267,0.69636,1.08948,0.96958,0.98143,0.98619,0.6336,1.33171,0.60581,1.35137,0.000594321,0.000594321,0.000594321
61,1735.7,1.14181,0.68659,1.08562,0.96191,0.98525,0.98191,0.64067,1.30909,0.5985,1.35419,0.000580174,0.000580174,0.000580174
62,1764.52,1.14922,0.68494,1.08884,0.95759,0.95214,0.97628,0.63421,1.30289,0.64031,1.34311,0.000566027,0.000566027,0.000566027
63,1793.47,1.13609,0.68507,1.08982,0.9659,0.9714,0.98284,0.6458,1.33671,0.61482,1.40898,0.00055188,0.00055188,0.00055188
64,1822.36,1.12513,0.67809,1.0775,0.95772,0.9356,0.97595,0.63578,1.35592,0.59732,1.3594,0.000537733,0.000537733,0.000537733
65,1851.2,1.11674,0.67736,1.07874,0.96398,0.98363,0.9814,0.62671,1.34319,0.58248,1.38171,0.000523586,0.000523586,0.000523586
66,1880.24,1.14946,0.67499,1.08858,0.98501,0.97548,0.9872,0.65364,1.26159,0.57384,1.34799,0.000509438,0.000509438,0.000509438
67,1909.23,1.09098,0.66368,1.06422,0.97539,0.9672,0.97701,0.65943,1.30651,0.5828,1.39877,0.000495291,0.000495291,0.000495291
68,1938.28,1.12342,0.66077,1.07044,0.96,0.97179,0.98003,0.659,1.29313,0.57649,1.3855,0.000481144,0.000481144,0.000481144
69,1966.85,1.10764,0.68364,1.07506,0.95888,0.98037,0.98108,0.64546,1.32496,0.58649,1.40085,0.000466997,0.000466997,0.000466997
70,1995.54,1.11017,0.64236,1.06243,0.96332,0.95769,0.97918,0.64362,1.35346,0.59543,1.41238,0.00045285,0.00045285,0.00045285
71,2024.07,1.11259,0.64521,1.07845,0.96508,0.94524,0.9724,0.63767,1.35352,0.59294,1.38369,0.000438703,0.000438703,0.000438703
72,2052.89,1.07377,0.64661,1.05736,0.95035,0.97735,0.98111,0.65941,1.30631,0.58751,1.38225,0.000424556,0.000424556,0.000424556
73,2081.51,1.10028,0.64519,1.06041,0.97429,0.9886,0.98719,0.63389,1.38128,0.59847,1.41204,0.000410409,0.000410409,0.000410409
74,2110.32,1.0678,0.63396,1.04495,0.9733,0.97188,0.98147,0.65758,1.35552,0.55699,1.37848,0.000396262,0.000396262,0.000396262
75,2138.97,1.09716,0.64089,1.05595,0.96455,0.97238,0.98091,0.64301,1.3391,0.56546,1.44456,0.000382115,0.000382115,0.000382115
76,2167.52,1.07454,0.63275,1.05444,0.97166,0.96781,0.98165,0.65399,1.32146,0.57648,1.42193,0.000367967,0.000367967,0.000367967
77,2196.09,1.07385,0.64298,1.06395,0.96578,0.97735,0.98032,0.6524,1.32946,0.57928,1.39369,0.00035382,0.00035382,0.00035382
78,2225.22,1.05827,0.6332,1.0566,0.98005,0.98036,0.98246,0.65218,1.33367,0.56263,1.40262,0.000339673,0.000339673,0.000339673
79,2253.76,1.06287,0.62772,1.05051,0.9696,0.97532,0.98201,0.65433,1.32263,0.57638,1.35983,0.000325526,0.000325526,0.000325526
80,2282.17,1.06755,0.62078,1.04629,0.9648,0.97857,0.9861,0.6495,1.30674,0.57241,1.3939,0.000311379,0.000311379,0.000311379
81,2310.79,1.05927,0.61887,1.04723,0.9618,0.9859,0.98315,0.66582,1.30215,0.56459,1.38188,0.000297232,0.000297232,0.000297232
82,2339.6,1.03292,0.6037,1.037,0.96739,0.97606,0.98205,0.6754,1.29255,0.57508,1.39674,0.000283085,0.000283085,0.000283085
83,2368.13,1.04455,0.61488,1.04557,0.96152,0.97572,0.9819,0.65396,1.32223,0.5675,1.42649,0.000268938,0.000268938,0.000268938
84,2396.73,1.03223,0.60476,1.02818,0.98078,0.98878,0.98698,0.66734,1.28759,0.55502,1.41486,0.000254791,0.000254791,0.000254791
85,2425.22,1.0558,0.61,1.03495,0.97994,0.98137,0.98142,0.66197,1.29576,0.55781,1.4339,0.000240644,0.000240644,0.000240644
86,2453.74,1.01131,0.60296,1.03146,0.9718,0.98055,0.98284,0.67607,1.27275,0.56922,1.41915,0.000226497,0.000226497,0.000226497
87,2482.46,1.02842,0.59481,1.02916,0.98089,0.9859,0.98201,0.66509,1.30339,0.54665,1.43246,0.000212349,0.000212349,0.000212349
88,2511.59,1.00836,0.59817,1.02365,0.98589,0.98971,0.98929,0.65667,1.29821,0.54362,1.44058,0.000198202,0.000198202,0.000198202
89,2540.7,1.00736,0.60133,1.02348,0.97473,0.97735,0.98234,0.66325,1.31159,0.55157,1.44096,0.000184055,0.000184055,0.000184055
90,2569.74,0.99993,0.58389,1.03122,0.97254,0.975,0.98526,0.66739,1.29332,0.54561,1.42132,0.000169908,0.000169908,0.000169908
91,2614.54,0.92069,0.48596,1.01096,0.97483,0.97735,0.98432,0.6733,1.25978,0.53881,1.40202,0.000155761,0.000155761,0.000155761
92,2642.98,0.90201,0.48427,1.00436,0.97934,0.98403,0.98188,0.64737,1.31258,0.54396,1.42345,0.000141614,0.000141614,0.000141614
93,2671.47,0.89874,0.48096,0.99792,0.97814,0.9859,0.9816,0.65674,1.32284,0.54227,1.43464,0.000127467,0.000127467,0.000127467
94,2700.57,0.9026,0.46914,0.99504,0.95971,0.97424,0.97767,0.64788,1.30765,0.53553,1.44134,0.00011332,0.00011332,0.00011332
95,2729.73,0.88875,0.46987,0.99999,0.95491,0.97284,0.97846,0.65711,1.32365,0.54452,1.4502,9.91726e-05,9.91726e-05,9.91726e-05
96,2758.54,0.8789,0.46632,1.00337,0.97114,0.98361,0.98178,0.64747,1.34525,0.54518,1.4515,8.50255e-05,8.50255e-05,8.50255e-05
97,2787.24,0.87847,0.47375,0.99349,0.97928,0.9859,0.98159,0.64839,1.32678,0.54132,1.45201,7.08784e-05,7.08784e-05,7.08784e-05
98,2815.94,0.87471,0.46272,0.98405,0.97968,0.98581,0.98137,0.65148,1.33474,0.53364,1.47618,5.67313e-05,5.67313e-05,5.67313e-05
99,2844.95,0.86248,0.45455,0.98968,0.97935,0.98538,0.98117,0.6548,1.33127,0.52883,1.46384,4.25842e-05,4.25842e-05,4.25842e-05
100,2873.36,0.86283,0.45501,0.98848,0.97805,0.984,0.98137,0.65856,1.32559,0.52764,1.45969,2.84371e-05,2.84371e-05,2.84371e-05
