epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8173,1.86569,3.81158,1.44621,0.42705,0.63932,0.49469,0.23094,1.73297,2.30319,1.54574,0.000474916,0.000474916,0.000474916
2,55.9593,1.69984,2.50977,1.3566,0.47088,0.80256,0.6763,0.34948,1.55767,1.6728,1.46685,0.00094654,0.00094654,0.00094654
3,83.2107,1.65731,2.05753,1.33577,0.38399,0.85127,0.65649,0.34458,1.5582,1.47091,1.43279,0.00141345,0.00141345,0.00141345
4,110.069,1.62627,1.78905,1.312,0.46223,0.83846,0.63806,0.35346,1.50071,1.44593,1.40555,0.00140778,0.00140778,0.00140778
5,137.049,1.59483,1.60691,1.31636,0.59083,0.74701,0.71758,0.40272,1.49103,1.27578,1.33567,0.00140071,0.00140071,0.00140071
6,164.239,1.554,1.49423,1.27016,0.58825,0.82078,0.7496,0.42628,1.43842,1.28642,1.32582,0.00139363,0.00139363,0.00139363
7,191.403,1.50501,1.42125,1.25368,0.62065,0.91709,0.76834,0.45966,1.4256,1.19027,1.35798,0.00138656,0.00138656,0.00138656
8,219.054,1.48636,1.31143,1.24663,0.81321,0.8908,0.91969,0.5151,1.46844,1.04956,1.35106,0.00137949,0.00137949,0.00137949
9,246.717,1.45016,1.25249,1.23105,0.88812,0.92338,0.96729,0.59512,1.35521,0.90472,1.35278,0.00137241,0.00137241,0.00137241
10,274.601,1.44814,1.19083,1.2299,0.85054,0.86895,0.93025,0.54688,1.49609,0.92583,1.37158,0.00136534,0.00136534,0.00136534
11,303.763,1.42701,1.14625,1.20988,0.94807,0.98098,0.97857,0.57341,1.49227,0.87966,1.3631,0.00135826,0.00135826,0.00135826
12,331.571,1.45483,1.13255,1.23677,0.86081,0.83682,0.86806,0.52065,1.51179,1.05133,1.45598,0.00135119,0.00135119,0.00135119
13,360.012,1.44821,1.14136,1.23717,0.88193,0.9448,0.96232,0.56947,1.5481,0.88627,1.38086,0.00134412,0.00134412,0.00134412
14,388.16,1.40011,1.05196,1.21902,0.88344,0.92803,0.96127,0.57965,1.42656,0.86679,1.37026,0.00133704,0.00133704,0.00133704
15,416.254,1.41908,1.05792,1.21969,0.90334,0.94351,0.96435,0.5812,1.34153,0.85342,1.32832,0.00132997,0.00132997,0.00132997
16,444.32,1.40132,1.0485,1.21779,0.93846,0.94402,0.97842,0.64961,1.32807,0.80853,1.30401,0.0013229,0.0013229,0.0013229
17,472.504,1.40752,1.0162,1.22192,0.97836,0.96367,0.98529,0.56563,1.53654,0.8241,1.41666,0.00131582,0.00131582,0.00131582
18,500.792,1.39159,1.01311,1.21124,0.92442,0.94402,0.97916,0.59627,1.41328,0.79976,1.32802,0.00130875,0.00130875,0.00130875
19,529.084,1.3445,0.98772,1.18178,0.91612,0.9295,0.95739,0.57868,1.39166,0.83288,1.34215,0.00130168,0.00130168,0.00130168
20,557.314,1.35161,0.96233,1.19817,0.93191,0.93922,0.97409,0.60353,1.41819,0.79896,1.34424,0.0012946,0.0012946,0.0012946
21,586.581,1.38807,0.95781,1.20486,0.9069,0.95321,0.97436,0.6061,1.40124,0.76328,1.36518,0.00128753,0.00128753,0.00128753
22,616.759,1.34963,0.9328,1.16482,0.9484,0.97097,0.98002,0.60595,1.38285,0.75195,1.35837,0.00128046,0.00128046,0.00128046
23,647.039,1.33242,0.91663,1.16932,0.93799,0.92607,0.96114,0.59888,1.33013,0.75788,1.35969,0.00127338,0.00127338,0.00127338
24,676.424,1.34756,0.95662,1.20246,0.9274,0.95242,0.97497,0.58859,1.44848,0.78484,1.41412,0.00126631,0.00126631,0.00126631
25,704.938,1.31304,0.92704,1.16083,0.95146,0.97179,0.98019,0.62665,1.36466,0.70128,1.37864,0.00125923,0.00125923,0.00125923
26,733.517,1.31637,0.88985,1.17036,0.94822,0.97735,0.98026,0.60757,1.37927,0.68558,1.41085,0.00125216,0.00125216,0.00125216
27,762.096,1.32303,0.8976,1.17216,0.8957,0.96842,0.98063,0.63647,1.29497,0.7003,1.32046,0.00124509,0.00124509,0.00124509
28,790.689,1.30378,0.89696,1.15928,0.92154,0.96523,0.97469,0.61104,1.3627,0.74432,1.3638,0.00123801,0.00123801,0.00123801
29,819.217,1.31326,0.88845,1.16213,0.97629,0.98738,0.98587,0.62549,1.36082,0.71842,1.38007,0.00123094,0.00123094,0.00123094
30,847.726,1.30727,0.88747,1.1577,0.94976,0.96372,0.98045,0.61338,1.38114,0.74766,1.31008,0.00122387,0.00122387,0.00122387
31,876.183,1.30381,0.88566,1.16316,0.96043,0.95501,0.98087,0.63896,1.32942,0.67324,1.31699,0.00121679,0.00121679,0.00121679
32,904.525,1.29371,0.87573,1.15212,0.93568,0.96896,0.97949,0.6297,1.3269,0.74482,1.26256,0.00120972,0.00120972,0.00120972
33,932.933,1.29151,0.90073,1.14463,0.96928,0.96445,0.98074,0.62322,1.4301,0.69519,1.40156,0.00120265,0.00120265,0.00120265
34,961.483,1.27923,0.853,1.15948,0.95227,0.98116,0.9843,0.64257,1.30995,0.66258,1.3493,0.00119557,0.00119557,0.00119557
35,989.818,1.28806,0.83707,1.17957,0.95945,0.9688,0.98092,0.6311,1.39323,0.65959,1.3522,0.0011885,0.0011885,0.0011885
36,1018.11,1.28145,0.81895,1.15898,0.95066,0.94976,0.97519,0.61996,1.32716,0.69742,1.40325,0.00118143,0.00118143,0.00118143
37,1046.32,1.29266,0.82896,1.15155,0.92717,0.98675,0.97643,0.62191,1.36494,0.68456,1.35064,0.00117435,0.00117435,0.00117435
38,1074.59,1.25659,0.80618,1.13869,0.94968,0.96058,0.98582,0.62346,1.42732,0.67736,1.35965,0.00116728,0.00116728,0.00116728
39,1103.11,1.29133,0.82234,1.16716,0.97181,0.97004,0.9863,0.59358,1.43563,0.70375,1.40125,0.00116021,0.00116021,0.00116021
40,1131.93,1.26552,0.81267,1.14608,0.95128,0.984,0.98495,0.63044,1.40477,0.64859,1.39435,0.00115313,0.00115313,0.00115313
